referral_id|taxonomy_to_find|to_feed_to_algo|recommended_cluster_labels|correct_labels|cluster_order|recommendation_time
73678938|BH-8600 * YX-0300.0190|['RP-1400.8000-020.80 * YX-0300.0190']|[(67,), (30,), (31,), (None,), (153,)]|True|2|0:00:00.296598
77550486|TE-8920.7190|['TE-8920.6600', 'TE-8920.6600', 'TE-8920.7100', 'TE-8920.7100']|[(8,), (40,), (142,), (174,), (66,)]|True|1|0:00:00.117319
74812523|TJ-3000.8000 * YZ-5000|['RM-6500.1500', 'RR-8800.5100']|[(67,), (31,), (115,), (None,), (4,)]|True|2|0:00:00.290959
65720023|BT-4500.6500-800|['BT-4500.6500-170']|[(137,), (None,), (173,), (195,), (62,)]|True|0|0:00:00.076597
79316786|TB-1100.6400|['TE-8920.7100']|[(8,), (40,), (142,), (174,), (66,)]|False|-1|0:00:00.114351
72940854|TC-1700|['BH-1800.3500 * YS-5000.5000', 'BH-1800.3500', 'BH-1800.3500']|[(37,), (10,), (93,), (None,), (130,)]|True|0|0:00:00.098920
68438237|RP-1500.3400-650|['RP-1500.1400-250']|[(115,), (40,), (194,), (112,), (None,)]|True|0|0:00:00.086567
77544665|TJ-3000.8000 * YZ-1850|['HD-8000.1800']|[(30,), (82,), (None,), (67,), (80,)]|False|-1|0:00:00.068856
77867180|FT-3200|['FT-4800', 'FP-4500', 'FP-4000 * YJ-8750']|[(182,), (90,), (101,), (67,), (62,)]|True|0|0:00:00.073324
64987460|BT-4500.6500-500|['BT-4500.6500-500', 'BT-4500.6500-500', 'BT-4500.6500-500 * YF-3000.1480', 'BT-4500.6500-500 * YF-3000.1480', 'BT-4500.6500-500 * YF-3000.1480']|[(137,), (194,), (None,), (195,), (62,)]|True|4|0:00:00.083553
81373481|LN-9300|['LH-6600.7000']|[]|False|-1|0:00:00.014729
67388180|NS-8000.6500|['DF-7000.1850']|[(117,), (8,), (142,), (None,), (110,)]|True|0|0:00:00.107216
72786779|FT-4500.8550|['FV-1400', 'FV-1400', 'FV-1400', 'ND-6500.9800']|[(67,), (30,), (182,), (136,), (125,)]|True|0|0:00:00.309498
76618956|PH-0700 * YZ-4500|['PB-1600', 'TD-6600.4500-060']|[(174,), (104,), (12,), (8,), (67,)]|False|-1|0:00:00.060610
